PROGRAMME,MLCOURSE,INFORET,STATS,DB,GENDER,CHOCOLATE,BIRTHDAY,NEIGHBOR,STAND,STRESSLEVEL,MONEY,RAND,SLEEPTIME ,GOODDAY,GOODDAY_2
Computational Science,no,unknown,mu,ja,female,fat,05-08-1998,0,no,0,4,227,10:30:00 PM,Good weather,Sporting
Quantitative Risk Management,no,0,mu,nee,male,unknown,1996,2,no,85,25,65,11:05:00 PM,chill,coffee
MSc Computational Science,no,0,mu,ja,female,neither,12th June,4,no,50,10,3,10:00:00 PM,Waking up early and preparing for the day by praying,Using the early morning time to study
MSc Finance - QRM,no,0,mu,nee,female,neither,19-06-1994,0,no,10,99,2,11:00:00 PM,eating good food,spending time with friends
BA,yes,0,mu,ja,male,neither,29-09-1993,0,no,60,80,7,10:00:00 PM,Sun is shining,Intimate contact with friends and family
Business Analytics,yes,1,mu,ja,male,fat,11-09,0,no,0,10,6,11:20:00 PM,sun,full agenda
DHPQRM,no,0,mu,nee,female,neither,27.08.1996,0,no,71,10,4,12:35:00 AM,coffee chat with a friend,jogging in sunny weather
Computer Science master,no,0,mu,ja,male,I have no idea what you are talking about,15/03/1992,>100,no,10,the amount of money you want to distribute/the number of people,256,12:35:00 AM,Enough sleep,No rain
BA,yes,0,mu,ja,female,neither,31-08-1998,2,no,0,50,3,11:30:00 PM,Friends,Being productive
Master Business Administration: Digital Business and Innovation,no,0,sigma,nee,male,fat,07-11-1995,1,no,22,"Based on 500 students: â‚¬0,20",8,11:00:00 PM,Done a workout,Wake up early
Econometrics,no,0,mu,nee,female,fat,03/08,0,no,70,50,8,11:00:00 PM,Meditation,Good Food
Artificial Intelligence,yes,1,mu,ja,male,neither,12 February,0,no,0,10,7,1:00:00 AM,laid back,sunny
Business Analytics,yes,0,sigma,ja,male,I have no idea what you are talking about,8-6-1998,5,unknown,20,0,456123,10:00:00 PM,Getting an algorithm to work in 1 go,Artists releasing new amazing song
Artificial Intelligence,yes,0,mu,nee,male,neither,17.02.1996,0,no,20,5,728,11:30:00 PM,Food,Sleep
Artificial Intelligence,no,0,mu,nee,male,fat,04-10-1996,0,no,15,10,7,11:30:00 PM,Good breakfast,Good dinner
Bioinformatics and Systems Biology MSc,yes,0,mu,nee,male,fat,04/07/94,1,no,30,5,6,1:30:00 AM,Sunshine,Warmth
qrm,no,0,mu,nee,unknown,neither,1992,2,no,30,1,1,11:30:00 AM,having slept well,Having worked hard
Finance: Quantitative Risk Management,no,0,mu,nee,male,neither,16-02,0,no,17,0,2,12:02:00 AM,Being productive,Sport
Finance Honours in Quantitative Risk Management,no,0,mu,nee,male,neither,19051997,0,no,80,85,9,2:00:00 AM,Coffee,Sugar
AI,yes,1,mu,ja,male,slim,29-02-1996,0,no,65,0,2,1:15:00 AM,productivity,exercise
Master Computational Science,yes,1,mu,ja,female,I have no idea what you are talking about,15-04-1997,1,no,25,3,8,12:41:00 AM,Sunshine/ Nice weather in general,Seeing friends/family
MSc. Econometrics and Operations Research,no,1,sigma,nee,female,fat,18 November,0,no,70,0,47,11:30:00 PM,Learned new things,Healty and nice food
Artificial Intelligence,yes,1,mu,ja,male,neither,28-08-1996,0,no,70,15,666,12:00:00 AM,Sunshine,Music
Artificial Intelligence,no,0,mu,nee,male,slim,16-03-1996,0,no,5,37,14,11:30:00 PM,laughs,sports
"Master Finance, QRM",yes,0,mu,nee,male,I have no idea what you are talking about,1993/07/28,0,no,60,50,9,11:30:00 PM,Lots of Laughs,Getting stuff done!
Business Analytics,yes,0,mu,nee,female,fat,14 March,0,no,35,0.21 euro,7,1:26:00 AM,Good weather,Intensive sport training
MSc Digital Business and Innovation (VU),yes,1,mu,ja,female,neither,26/09/1995,0,no,10,"0,25 euros",98,11:00:00 PM,"reaching a certain level of productivity (e.g., reading, doing sports, doing assignments)",having some laughs with friends and family
Computer Science(Big Data Engineering Track),yes,1,mu,ja,female,neither,1997/11/04,0,no,80,100,100,11:30:00 PM,nice weather,tasty food
M.Sc. in Computer Science,no,0,unknown,unknown,male,I have no idea what you are talking about,14-07-1997,3,unknown,90,60,99,11:00:00 AM,weather,friends
QRM,yes,0,mu,nee,male,fat,14-05-1997,0,no,30,10,5,11:00:00 PM,Sport,Seeing friends
Artificial Intelligence,yes,1,mu,nee,female,neither,22-06-1997,0,no,88,90,78,11:30:00 PM,"research project goes on well, school work goes on well","read some good papers, I know I am nerdy :)"
QRM,yes,0,mu,nee,male,fat,14-05-1997,0,no,30,10,5,11:00:00 PM,Sport,Seeing friends
Econometrics,yes,1,mu,nee,female,fat,17.09.1997,0,no,60,60,74,12:00:00 AM,sunshine,coffee
MSc Econometrics and Operations Research,yes,unknown,mu,ja,female,fat,17-10-1996,2,no,60,Depends on the number of people it is divided between. When there are 10 people - say 15 euros,2,11:30:00 PM,Being busy and useful,Spending time with friends
AI,no,0,mu,nee,female,slim,17.12.1997,2,yes,20,30,7,12:20:00 AM,nature,friends
Digital Business and Innovation,no,unknown,mu,nee,male,fat,08-06-1996,0,no,60,100/470,10,11:00:00 PM,Good food,Friends
MSC AI VU,yes,0,mu,nee,male,slim,01-01-1990,0,yes,99,99 euros,438483848343885591030219481823,1:00:00 AM,sun,getting shit done
AI,yes,1,mu,ja,male,fat,17-06-1992,0,no,10,5,33,12:00:00 AM,A day where I have done all the things I wanted to do,A day with a nice surprise
Finance: Quantitative Risk Management,no,0,mu,nee,female,neither,14-05-1997,0,no,20,5,2,11:00:00 PM,Sunshine,Friends
Business Analytics,yes,1,mu,ja,male,neither,6-12-2019,0,no,20,5,6,1:00:00 AM,Doing something fun,Meeting friends
Computer Science,yes,0,mu,ja,female,fat,11-03-1997,0,no,30,0,6,11:04:00 PM,Had a good night of sleep,No deadlines due
Artificial Intelligence,yes,0,mu,nee,male,fat,19-07,0,no,20,1,7,2:00:00 AM,sunshine,good breakfast
Finance & Technology,yes,unknown,mu,nee,male,fat,3-8-1998,0,no,50,1,16,2:00:00 AM,work out,play chess
Econometrics,yes,0,mu,nee,female,fat,16-04,0,no,60,-,6,3:00:00 AM,nice weather,nice food
AI,yes,0,mu,nee,female,fat,20-03-1996,0,no,30,0,4,12:00:00 AM,Sport,Be with friends
Econometrics,no,1,mu,nee,female,fat,26th of August,0,no,40,70,26,12:30:00 AM,Passing all of my exams,Sunny weather
Artificial Intelligence,no,0,mu,nee,female,fat,02-07-1996,2,no,25,1,66,11:45:00 PM,Good weather,Friends
Econometrics,no,0,mu,ja,female,fat,3 May 1996,1,no,0,75,"1,4",11:30:00 PM,Chilling in the sun,Going to the beach
BA,yes,1,mu,ja,female,neither,04-10-1995,1,no,10,10,4,11:00:00 PM,nice breakfast,achieving something
Master Econometrics UvA,yes,0,mu,nee,female,fat,28-04-1997,3,no,40,20,2,11:30:00 PM,nice weather,good sleep
VU AI,yes,0,mu,nee,female,fat,14 February,0,no,65,25,4,12:00:00 AM,Treating myself,Enjoying what is out there
MSc Econometrics,yes,0,sigma,nee,female,fat,10-02-1996,0,yes,0,10,3,12:00:00 AM,a good laugh,friends around me
Business Analytics,yes,0,mu,ja,female,fat,11-09-1999,0,no,15,1,8,2:30:00 AM,Laughter,Food
CS,no,0,mu,ja,male,I have no idea what you are talking about,15-03-1992,0,no,10,10,9,12:35:00 AM,Enough Sleep,Absence of rain
Business Analytics,yes,0,mu,ja,female,slim,23/06/1998,2,no,50,60,3,12:15:00 AM,Interesting assignments,Sun/Beach/Sea
Master AI,no,0,mu,nee,female,neither,23-12-1993,1,no,60,â‚¬Â 10.00,3,2:10:00 AM,Being productive on something Iâ€™m passionate about,Eating some very good food
MSc. Econometrics and Operations Research,no,0,mu,nee,female,I have no idea what you are talking about,"April 20, 1997",1,no,30,5,1,11:59:00 PM,"Plans, not too much but just enough to fill the day",Time spent outside
Econometrics,no,0,mu,nee,female,unknown,04-03-1997,0,no,50,-,1,11:00:00 PM,Sunshine,Playing with my pets
Business Administration,yes,0,mu,ja,male,fat,27-12-1993,1,no,60,1,8,11:30:00 PM,having fun,having good food
AI,yes,0,mu,ja,male,I have no idea what you are talking about,10-08-1997,0,no,5,5,22,6:00:00 AM,Being 25% productive,Having fun with friends
BA,yes,1,mu,ja,male,neither,January 17 1996,0,no,96,0,6,12:00:00 AM,no corona measures,pie
Scientific Computing,yes,1,mu,ja,male,neither,28-12-1996,0,no,5,100/N,7,12:45:00 AM,running,cooking something nice
Computer Science,yes,0,mu,ja,male,neither,17-10-1993,0,no,90,90,6,12:30:00 AM,Great Food,Get up at 12 o'clock
Econometrics,yes,0,mu,nee,male,neither,2806,0,no,10,30,5,11:30:00 PM,Sun,Music
Econometrics and Data Science,yes,0,mu,ja,male,fat,04/12/1991,4,no,90,50,7,4:00:00 AM,study/assignments are going great,people that I like are attracted to me
MSc CS Big Data Engineering,yes,1,unknown,ja,male,neither,19,0,no,-1,-2147483648,four,11:30:00 PM,\0,\0000
Bioinformatics and Systems Biology,yes,0,mu,ja,female,neither,17/10/1994,0,no,30,10,8,11:45:00 PM,friends,beach
MSc AI Vrije Universiteit,yes,0,mu,ja,male,neither,17-7-1992,0,no,20,0,1,12:30:00 AM,Sleep,Activity
Artificial Intelligence,yes,0,sigma,nee,unknown,slim,24-07-1990,0,unknown,99,"0,2",4,2:00:00 AM,sex,More sex
Finance QRM,no,0,mu,nee,male,neither,04.06.1996,1,no,78,"0,3",6,1:00:00 AM,good news,breakfast
Master Business Analytics,yes,0,mu,ja,male,fat,17-09-1994,0,no,10,5,7,10:30:00 PM,Golf,Football
Econometrics,yes,0,mu,ja,male,neither,20/07/1992,2,no,70,10,7,2:30:00 AM,Good Coffee,Sun
Bioinformatics,yes,0,mu,nee,female,unknown,03.11.1989,1,no,60,25 euro,3,10:00:00 PM,Sun,No python errors
Computational science,no,0,mu,nee,male,I have no idea what you are talking about,03-27-1997,0,no,50,100,10,1:00:00 AM,Movie,Music
Digital Business & Innovation,yes,1,mu,ja,male,fat,09-11-1995,0,no,60,1,10,11:00:00 PM,Beer,Sun
Bioinformatics,yes,0,mu,nee,female,fat,01-08-1997,1,no,5,"0,2",3,10:30:00 PM,sun,food
Bioinformatics,yes,0,mu,nee,male,fat,21/02/1998,0,no,10,1,"4,2",2:00:00 AM,Coffee,Temperature
Business Analytics,yes,0,mu,ja,female,slim,12-01-1998,0,no,32,"0,2",5839235,11:30:00 PM,Good night sleep,clear sky
Masters in Parallel and Distributed Computer Systems,no,1,unknown,ja,male,neither,in January,0,no,20,1%,42,2:00:00 AM,work,lack of work
Artificial Intelligence,yes,unknown,mu,ja,male,neither,6 January,1,no,78,1,7; DROP ALL TABLES;,11:30:00 PM,"<h1>Breaking web forms"" \\ \ / "" ' # ^ \t \n </div>","""'""'""''''""'''/'/""/''/""\t\t\t\n""\'""'""`'"
Quantitative Risk Management (Finance),no,0,mu,nee,male,fat,18-07,0,no,20,1,7,11:30:00 PM,Productive,Sun
Computational Science,no,0,mu,ja,female,neither,02-03-1998,0,no,10,1,6,1:00:00 AM,sunshine,being productive
Information sciences,yes,0,mu,ja,male,neither,18-05-1996,7,no,78,100,897858,4:05:00 AM,good 8 hours sleep,nothing to do
Computational Science,yes,1,mu,nee,male,neither,31/07/96,0,no,45,20,5,11:00:00 PM,Nice weather,No stress
Msc Econometrics,no,0,mu,nee,male,neither,25-06-1995,1,no,10,10,7,12:50:00 AM,breakfast,sun
MSc AI,no,0,mu,nee,male,fat,03-03-1996,3,no,0,2,10,12:00:00 AM,Sunny weather,Having spare time
BA,yes,0,mu,ja,female,fat,27-03,1,no,60,1,8,10:00:00 PM,Good company,Nice weather
business analytics,yes,0,unknown,ja,male,fat,03-04-1995,1,no,83,35,3,12:30:00 AM,food,party
Duisenberg Honours Programme in Quantitative Risk Management,no,0,mu,ja,male,fat,23/05/1996,0,no,70,100,7,1:00:00 AM,Food,Friends
Business Analytics,yes,0,mu,ja,female,slim,13-03-1998,5,yes,50,70,8,12:30:00 AM,Boxing,Seeing friends
BA,yes,0,mu,nee,male,fat,03-03-1994,0,no,70,(1/participents)*total amount given,3,2:00:00 AM,Good coffee,Good weather
BA,yes,0,mu,nee,male,slim,26-06-1997,0,no,43,100,9,10:30:00 PM,Good night of sleep,Weather
AI,yes,1,mu,ja,female,fat,17/04,2,no,85,10,29,2:00:00 AM,sunshine,friends
MSc Artificial Intelligence (VU),no,0,mu,ja,male,neither,20 September,0,yes,10,10 euro de neus,23,11:30:00 PM,A good night's sleep,Fun
Artificial Intelligence Msc,unknown,0,sigma,unknown,female,I have no idea what you are talking about,21-01-1997,0,yes,89,30,78,11:00:00 PM,my friends around me,my family surrounding me
Finance and Technology,yes,0,mu,nee,female,fat,25 April,0,no,40,10,24,2:00:00 AM,sleep-in,nice food
Master of Finance,no,0,mu,nee,male,fat,30-10-1996,0,no,100,5,25,1:00:00 AM,Sunny once I open the curtains,Breakfast burrito or a burrito from Salsa Shop
Artificial Intelligence track on Cognitive Science,yes,0,mu,ja,male,neither,04/03/1994,4,yes,17,43,7,1:30:00 AM,bright sun in a very cold day,playing basketball
MSc . Computer Science - Big Data Engineering,no,0,mu,ja,male,I have no idea what you are talking about,15/07,1,no,-100,1,8,1:00:00 AM,nice breakfast,sunny weather
AI,yes,1,mu,ja,female,neither,22/11/1998,1,no,40,2,3,12:30:00 AM,Enough sleep,Sunshine
econometrics,no,0,sigma,ja,male,slim,1995,3,no,100,50,3,1:00:00 AM,foood,food
CS,no,0,mu,ja,female,I have no idea what you are talking about,08-12,0,no,50,70,7,1:23:00 AM,08-12,08-03
Artificial Intelligence,yes,0,mu,nee,male,neither,October 17,1,no,0,100,17101991,3:00:00 PM,Doing coding for my personal project with Mozart playing in the headphones,Good gym session in the morning
Artificial Intelligence,yes,0,sigma,nee,male,I have no idea what you are talking about,08/06/1995,2,no,12,100,27,10:00:00 PM,Yes,Yes (2)
AI,no,1,mu,nee,male,neither,20/09/1996,0,no,30,"0,5",9,10:00:00 PM,Having plans,Meeting with friends
AI,yes,0,mu,ja,male,neither,22.07.1993,3,no,25,0,13,3:00:00 AM,accomplishing my goals,playing with my dog
Finance & Technology,yes,0,mu,nee,male,fat,06-06-1996,0,no,30,1,7,11:59:00 PM,Being productive,Eating healthy food
quantitative risk management,no,0,sigma,nee,male,fat,6 March,4,no,0,100,6,11:30:00 PM,champions league,football
Computer Science,yes,0,mu,ja,male,unknown,19-12,0,no,20,?,37,1:00:00 AM,?,?
Finance (Quantitative risk management),no,1,mu,ja,female,fat,09-12-1997,0,no,80,85,8,12:00:00 AM,Good weather,schedule with friends
Physics and Astronomy,no,0,mu,ja,female,neither,16-09-1994,1,no,50,0,8,12:30:00 AM,Being outside in sunny weather.,Being productive doing things that interest me.
Computer Science,yes,0,sigma,ja,male,I have no idea what you are talking about,12.07.1989,0,no,65,1 euro,42,11:00:00 PM,Good Food,Nice People around me
Econometrics,yes,0,mu,nee,female,neither,15-09-1997,1,no,30,5,5,11:30:00 PM,Meeting my friends,Nice weather
AI,yes,0,mu,ja,male,neither,----,0,no,10,1,3,11:50:00 PM,Sunshine,Sports
Exchange,yes,0,mu,ja,female,I have no idea what you are talking about,19.3.1993,1,no,50,10,7,12:00:00 AM,no alarm,good weather
Business Analytics,yes,unknown,mu,ja,female,neither,July 22,0,no,20,0,37,11:00:00 PM,People around you,What I have planned that day
BA,yes,1,mu,ja,female,neither,28-05-1998,0,no,25,30,3,10:00:00 PM,sporting,reading a book
Computer Science,no,1,mu,ja,female,unknown,20-08-1997,0,no,90,60,3,1:00:00 AM,Doing my activities as planned,Have enough time to relax and free my mind
BA,yes,0,mu,nee,male,fat,19 June,0,no,30,0,7,12:00:00 AM,Nice Meals,Sport
Computational Science,no,0,mu,nee,female,neither,17-11-1998,0,no,60,250,12345,10:00:00 PM,Nice weather,Being productive
Big Data Engineering,no,1,mu,ja,male,fat,01-09-1994,0,no,10,20,56217895624785142589635562651560666526,11:45:00 PM,Things go according to my schedule,Successful results for my work
AI,no,0,mu,nee,male,fat,28-10-1993,1,no,60,Less,7,1:00:00 AM,Weather,Seeing friends
CS,no,1,mu,ja,male,neither,24.08.1995,0,no,5,10,8,1:30:00 AM,good weather,got money
Master Digital Business & Innovation (SBE),no,0,sigma,nee,male,neither,23/09/1994,1,no,30,20,3,12:20:00 AM,Finished some tasks,Exercise
AI,no,unknown,mu,ja,female,fat,25/04/1996,0,no,15,4,8,11:30:00 PM,Productive/active,Feeling content at the end of the day
Health sciences,yes,1,mu,ja,male,neither,03-04-1996,2,no,0.5,Depends on the amount of participants,7.6,12:45:00 AM,Exercise,Achieved at least one thing I wanted
Human movement science research master,no,0,mu,nee,male,neither,13-03-1997,0,no,40,1,666,11:00:00 PM,company,skating
Computer Science,yes,0,mu,ja,male,fat,15-12-1996,0,no,0,69,7,11:00:00 PM,Sunshine,No quarantine
CS,yes,0,sigma,ja,male,neither,11th of August,0,no,25,0.2,3,10:30:00 PM,A good night's sleep,Breakfast
Masters in Artificial Intelligence,no,0,mu,ja,male,neither,24th Jan 1996,0,no,10,50,141100267,4:14:00 PM,Being Alive for the day,Competing myself from when compared to yesterday
AI,no,0,mu,ja,male,neither,24-01-1996,0,no,0,60,7,11:30:00 PM,Gym,Improving myself
Computational Science,no,0,mu,nee,female,neither,03/08/1996,0,no,12,7,3,11:45:00 PM,Being productive,Have fun with my friends
BA,yes,0,mu,ja,female,fat,27-06-1991,1,no,70,25,8,11:30:00 PM,Sunny weather,Running
Human Language Technology,yes,0,mu,nee,female,neither,25-10,0,no,50,20,8,1:30:00 AM,nice weather,social interaction
Bioinformatics and Systems Biology,yes,0,mu,nee,male,neither,27/02,0,no,75,a fiver,72,12:00:00 AM,Some time off for once,When I can support my hobby
Msc Artificial Intelligence (UvA),yes,1,mu,nee,male,neither,04/March - 1996,0,no,30,40,2,12:40:00 AM,having time for myself,having a clear view of work that needs to be done the coming day(s)
Computational Science,no,1,mu,nee,male,fat,27-06,0,no,20,0,2,11:30:00 PM,Waking up rested,Going out to take photos
